name,latitude,longitude,Arts & Entertainment,College & University,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport,cluster
Bourbon Shopping,-23.526457302940887,-46.681090351180885,32,29,122,61,61,67,19,90,17,2
Centro Empresarial de São Paulo (CENESP),-23.648681520701164,-46.73053215094947,7,6,85,6,18,64,3,67,13,0
Conjunto Nacional,-23.559015452200303,-46.66006950896595,61,59,202,115,80,121,33,116,85,1
Fabbrica Mooca,-23.550453232508783,-46.59554432335314,6,39,117,35,41,51,24,47,10,0
Galeria Pão de Açucar Ricardo Jafet,-23.58813771094474,-46.62034660577774,7,16,68,14,35,36,17,63,13,0
Grand Plaza Shopping,-23.649493293202056,-46.53166154313729,9,52,134,32,24,66,15,74,13,0
Jardim Pamplona,-23.57075710250764,-46.660727201310394,33,35,140,38,64,80,25,74,55,2
Morumbi Open Center,-23.641593675426716,-46.743189195255965,3,9,57,13,20,36,9,42,8,0
Morumbi Town,-23.631746960866803,-46.73736333847045,11,15,46,5,48,57,44,96,9,0
MorumbiShopping,-23.623372279442282,-46.698975563049316,10,34,150,23,50,85,19,113,21,2
Open Mall Panamby,-23.63323410753263,-46.72889201487871,9,15,72,6,44,50,32,91,6,0
ParkShoppingSãoCaetano,-23.626249197876643,-46.57988219996115,3,8,62,4,22,21,5,78,3,0
Shopping Anália Franco,-23.561569672742817,-46.55994845622681,7,18,79,6,32,52,5,96,5,0
Shopping Aricanduva,-23.565533506966553,-46.50362572483569,4,7,72,12,16,28,7,71,8,0
Shopping Butantã,-23.585290248065576,-46.72500421274316,4,18,82,15,38,42,12,61,10,0
Shopping Center Norte,-23.51559554085492,-46.61769637111641,13,15,126,11,10,50,4,106,73,0
Shopping Eldorado,-23.57287200706548,-46.69617063371715,23,28,226,52,47,75,11,96,40,2
Shopping Frei Caneca,-23.55397478082,-46.65277228083409,79,68,152,112,76,105,36,107,70,1
Shopping Ibirapuera,-23.610442262722717,-46.66669827716451,19,32,176,53,66,65,14,119,38,2
Shopping Iguatemi,-23.577046301216768,-46.68833255767822,22,23,136,34,61,77,8,98,27,2
Shopping Interlagos,-23.67600784928088,-46.67713353250822,5,15,73,10,16,46,8,74,4,0
Shopping Interlar Aricanduva,-23.56238564752493,-46.502897305818756,5,5,60,12,9,22,2,71,9,0
Shopping Jardim Sul,-23.63123600995813,-46.735914333095515,11,17,81,6,47,59,43,95,4,0
Shopping Metrô Santa Cruz,-23.599090541280173,-46.637091636657715,28,54,154,30,59,91,18,94,20,2
Shopping Metrô Tatuapé,-23.541589149791587,-46.57634285926117,19,49,160,35,39,81,17,91,18,2
Shopping Metrô Tucuruvi,-23.479791474787373,-46.60253050626039,10,16,80,8,21,44,5,78,9,0
Shopping Pátio Higienópolis,-23.54235057146529,-46.657448684880606,24,79,193,57,76,80,18,105,26,2
Shopping Pátio Paulista,-23.570800471753653,-46.64354385176048,30,43,178,45,63,140,32,105,75,1
Shopping União de Osasco,-23.538374430579715,-46.76549831474179,7,34,94,24,42,51,13,72,7,0
The Square Open Mall,-23.589987572319746,-46.824709117324744,5,7,44,5,7,24,10,75,4,0
